"id","name","description","expression","dimension","workspace","generated","is_template","template_id","active","created_by","last_approval_by","last_approval_status","last_approval_at","deleted_on","deleted_by","alias_mappings","reusable_join_id","dsl","taxonomy","data_steward","domain_owner","technical_owner"
"019e0488-9a56-7caa-b001-000000000001","customer-email-unique","Customer email must be unique","COUNT(*) = 1 OVER (PARTITION BY email)","Uniqueness","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2026-05-19T09:00:00Z","","","","","rules/019e0488-9a56-7caa-b001-000000000001/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000003","customer-active-email-condition","Active customers must have an email address","is_active = true AND email IS NOT NULL","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2026-05-19T09:02:00Z","","","","","rules/019e0488-9a56-7caa-b001-000000000003/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7177-a9f7-1118ca1aea5a","account-balance-positive","Account balance must be non-negative","balance >= 0","Validity","retail-banking","false","false","","true","data-steward-user","approver-user","approved","2024-01-15T10:30:00Z","","","","","rules/019e0488-9a55-7177-a9f7-1118ca1aea5a/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a54-7663-9bf6-7e512282aaa2","transaction-amount-limit","Transaction amount must not exceed daily limit","amount <= 50000","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-20T14:15:00Z","","","","","rules/019e0488-9a54-7663-9bf6-7e512282aaa2/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a54-735c-86f2-409d0d749ff8","customer-kyc-verified","Customer KYC must be completed","kyc_status = 'verified'","Consistency","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-10T09:45:00Z","","","","","rules/019e0488-9a54-735c-86f2-409d0d749ff8/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-757f-bd2b-b88b0d6ed097","account-active-status","Account must be in active status","account_status = 'active'","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-22T11:20:00Z","","","","","rules/019e0488-9a55-757f-bd2b-b88b0d6ed097/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7975-8bb5-a6cd646802a8","interest-rate-range","Interest rate must be within valid range","interest_rate >= 0 AND interest_rate <= 25","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-18T13:10:00Z","","","","","rules/019e0488-9a55-7975-8bb5-a6cd646802a8/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-771d-afc7-6a0f362aa455","minimum-balance-required","Account must maintain minimum balance","balance >= 1000","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-25T15:40:00Z","","","","","rules/019e0488-9a55-771d-afc7-6a0f362aa455/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7b8b-9e15-28c6255d52ce","transaction-date-valid","Transaction date must be within last 30 days","transaction_date >= NOW() - INTERVAL 30 DAY","Timeliness","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-12T10:00:00Z","","","","","rules/019e0488-9a55-7b8b-9e15-28c6255d52ce/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7062-bdfc-3b38fa967825","loan-eligibility-score","Loan applicant must have minimum credit score","credit_score >= 650","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-19T12:30:00Z","","","","","rules/019e0488-9a55-7062-bdfc-3b38fa967825/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
